sentence,label
i want to talk about my skincare routine,0
i was just thinking about how much i love my current jacket,0
thinking about the chemical properties of different serums,0
planning to buy a new pair of sunglasses,1
been thinking about trying that niacinamide serum,1
do u sell any tech accessories... oh wait i see them,0
im looking for a puffer jacket that is packable,1
im tryna find a decent cotton tee for cheap,1
oversized heavyweight interlock jersey tee,1
what are the primary colors in painting,0
how do i make a traditional pesto sauce,0
what is the highest peak in the americas,0
i accidentally knocked over the bottle of olive oil,0
my monitor keeps flickering when i turn it on,0
the ocean waves are very calming to watch,0
facial oil with squalane and jojoba,1
planning to buy some fresh organic honey today,1
their school bags are heavy today,0
i am feeding the cat some food,0
the cedar raised beds are full of soil,0
my pc is making a weird whirring noise,0
this tuxedo doesn't fit me anymore,0
who wrote the book crime and punishment,0
how do glaciers change the landscape,0
where do people buy high-quality bed frames these days,1
mid weight garment dyed tshirt,1
fleece pullover with half zip neck,1
i feel very productive when i wake up early,0
i am curious about the roman senate,0
might pick up a high speed ssd for my laptop,1
i think i need some fresh graphic tees for summer,1
bread flour,1
i am happy to be here,0
the potting soil spilled all over the patio floor,0
considering the price of gas i think i'll just stay home,0
want to get a new yoga block for my practice,1
i think i will go to the museum today,0
my hiking boots are covered in dried mud,0
shoe rack,1
hi do you have any deals on wireless earbuds today,1
my sunscreen is expired so i threw it out,0
what is the longest river on earth,0
i should probably iron my shirt for the party,0
i think it is important to stay curious,0
want to upgrade my outdoor patio chairs,1
the zipper on my bag is completely broken,0
who was the architect of the taj mahal,0
how do volcanoes erupt over time,0
i should probably get a new jacket soon,1
my laptop is getting very hot,0
i need skin care advice for a friend,0
looking for a denim jacket with a hood,1
the patio chairs are soaking wet from the rain,0
the crackling of a campfire is so soothing,0
braided nylon lightning cable for fast charging,1
good night,0
might pick up my room later this afternoon,0
waterproof case,1
thinking about how to fix my broken keyboard,0
what is the capital city of thailand,0
suede trucker jacket with button closure,1
do you sell those keyboards with the clicking sound,1
might look into how to repair the frayed cable on my keyboard,0
i want to buy a new set of bath towels in white,1
hoping to find a leather wallet for my dad,1
thinking about the best order to apply my skincare products,0
mineral wash vintage style graphic tshirt,1
toaster,1
i find the study of psychology interesting,0
was wondering if you guys saw the news about the new displays,0
how do bees make honey from nectar,0
what is the most spoken language globally,0
hi i saw someone wearing a really nice trench coat,0
the bed frame was easy to assemble,0
fleece pullover with kangaroo pocket,1
what is the capital of argentina,0
i find space exploration very inspiring,0
the floor lamp is casting a weird shadow,0
clay face mask tube,1
can you explain how a solar panel works,0
i accidentally washed my earbuds in the laundry,0
what is the hottest planet in the solar system,0
i left my denim jacket at the restaurant last night,0
might pick up some new earbuds if they go on sale,1
i think i will go to the library today,0
i am hoping to repair my gaming mouse,0
fleece lined windbreaker for autumn weather,1
i should probably buy a new winter scarf,1
i am reading about the bronze age,0
hello considering the rain i'll just stay inside today,0
coach jacket with snap front closure,1
lightweight facial oil with rosehip,1
quilted liner jacket with onion stitching,1
i need to buy a warm jacket for a trip to alaska,1
displayport to displayport cable 6ft,1
shearling lined aviator jacket in dark brown,1
i am lifting these dumbbells right now,0
i need to grab a waterproof coat for a hike,1
might pick up my dry cleaning on the way back from work,0
i am cleaning the blades of the blender carefully,0
do you have those pimple patches for breakouts,1
thinking about the time i lost my favorite hoodie,0
thinking about getting a new yoga strap for stretching,1
thinking about how many different types of cotton exist,0
what are the rules of championship golf,0
binoculars,1
active noise cancelling earbuds with transparency mode,1
this tshirt is so soft i love the fabric,0
thinking about how many different types of cotton exist,0
i feel like the day went by very fast,0
i should probably buy a new four slice toaster,1
wireless mouse for laptop,1
the sourdough bread is still warm from the oven,0
how do i build a consistent sleep schedule,0
thinking about the best way to apply this moisturizer,0
quilted spring jacket,1
the blackout curtains are closed to keep the room cool,0
puffer vest,1
slim fit black jeans,1
hoping to find my lost face wash,0
brightening eye serum with vitamin c,1
i feel like dancing,0
who wrote the poem ozymandias,0
need a new charger for my macbook air,1
looking for a denim shacket in a medium wash,1
what do you think about the future of ai,0
i am planning to clean my mechanical keyboard,0
cotton graphic tee,1
thinking about how to properly recycle my old monitor,0
i found an old gift card in my wallet,0
how do telescopes see distant galaxies,0
zip up fleeces in navy,1
how do you make a perfect cup of coffee,0
the kids need new school bags before september,1
winter is coming and i don't even own a shovel,1
i need to find a warm parka before winter starts,1
i am drawing with colored pencils,0
laundry pods,1
what are some interesting facts about space,0
what is the fastest animal in the ocean,0
what is the capital city of turkey,0
i need to buy a portable gas grill for camping,1
hi i spilled some moisturizer on my desk by accident,0
ribbed knit henley in organic cotton,1
i spilled some water on my mechanical keyboard,0
who discovered the structure of dna,0
hi i accidentally bought two of the same shirt,0
i can see the hawks clearly through these binoculars,0
i am trying to be more patient lately,0
im trying to find a waterproof shell for hiking,1
peptide lip balm for hydration and volume,1
hoping to get some niacinamide for my pores,1
4k webcam with auto focus and zoom,1
i am learning to identify constellations,0
looking for a specific type of denim shacket,1
i find the concept of time travel intriguing,0
im thinking about getting a new jacket for the commute,1
"my sneakers literally fell apart today, i need a fresh pair",1
new mystery novel,1
keyboard,1
i find the theory of evolution fascinating,0
my face is peeling because of the cold wind,0
tenkeyless mechanical keyboard with brown switches,1
the soccer ball got stuck in the tree again,0
mechanical numpad with hot swap pcb,1
reversible bomber,1
the collar on my shirt is all stretched out,0
i find deep sea creatures very fascinating,0
gaming mouse with programmable side buttons,1
leash,1
the collar on this tshirt is totally ruined,0
windbreaker jacket mens,1
planning to get a new keyboard for my pc,1
i spilled some juice on my white tshirt,0
hello,0
was contemplating a new jacket for my hiking trip,1
looking for a face wash that wont dry me out,1
physical exfoliant with microfine bamboo beads,1
im looking for a sunscreen that wont make me oily,1
how do you fix a squeaky floorboard,0
onesies,1
the fridge is completely stocked for the week,0
mechanical blue switches,1
planning to clean my keyboard with air,0
kettle,1
i am cooking some crispy wings in the air fryer,0
i enjoy the peace of the countryside,0
usb condenser mic for podcasting,1
hello considering the traffic i should probably take the train,0
hoping to find a ceramic butter dish for the table,1
hello looking for a hydrating face mask for dry skin,1
the baby grew out of these onesies already,0
hello do you sell any organic cotton tshirts,1
i need to buy a bag of premium bird seed,1
hi im considering a new moisturizer for the winter season,1
oversized hoodie,1
my leather loafers need to be polished before the meeting,0
the yard is a jungle so i need a heavy duty trimmer,1
how do i look today,0
thinking about the chemical properties of different serums,0
can you explain the water cycle simply,0
looking for a gift for someone who likes skincare,1
digital cinema camera with pl mount,1
yo been thinking about getting a better camera for my pc,1
what are the secondary colors of paint,0
might go ahead and buy a better gaming mouse,1
wireless ergonomic keyboard for office work,1
cleansing balm for removing waterproof makeup,1
what is the most popular sport in the world,0
i should probably get a new jacket soon,1
how do ants find their way back home,0
i want to buy a cast iron skillet for searing steaks,1
hey my keyboard is making a weird squeaking noise,0
heavy jersey boxy fit tshirt in charcoal,1
i really appreciate a good cup of tea,0
i am wearing a hat,0
i want to try making sourdough so i need a starter kit,1
thermal lined henley shirt for warmth,1
do you sell any indoor herb garden kits,1
thinking about the different types of cotton used in shirts,0
my messenger bag is too small for all my books,0
olive oil,1
low profile mechanical keyboard with blue switches,1
apples,1
yo been thinking about getting a better webcam for work,1
hydrating essence with 96 percent snail secretion,1
i accidentally washed my phone in my jacket pocket,0
what is the purpose of a leap year,0
the fan in my laptop is making a loud sound,0
do you guys stock any lightweight sunscreens,1
i spilled some balsamic vinegar on my white shirt,0
how do i improve my memory skills,0
was thinking about grabbing a few more basic tees,1
potting bench,1
i want a mechanical keyboard that is wireless,1
how do i build a better memory,0
i am learning how to play poker,0
i want to move my keyboard closer to me,0
box fit heavy jersey tee in mustard yellow,1
i think i might need a new moisturizer,1
do you sell any indoor composting bins,1
who was the first person to draw a map,0
sleeping on the floor is surprisingly good for my posture,0
i enjoy listening to lo-fi hip hop,0
yo might cop that denim jacket if it ever comes back in stock,1
chlorine tabs,1
i wonder how many languages exist today,0
thanks need a new pc charger because mine is sparking,1
hi i was thinking about that time i spilled coffee on my desk,0
tell me how to grow tomatoes from seeds,0
who wrote the screenplay for inception,0
the rug in the laundry room is a bit damp,0
the whole grain bread smells amazing right now,0
the sound of a busy cafe is comforting,0
is there a specific brand of dog food for sensitive stomachs,1
mechanical keyboard with silver speed switches,1
what is the best way to plant a tree,0
what is the rarest flower in the world,0
centella facial mist for sensitive skin,1
oversized pocket tshirt in heavyweight jersey,1
usb c to ethernet adapter gigabit,1
i am practicing my photography skills,0
hello i want to get a denim jacket in a dark wash,1
striped heavyweight jersey tshirt,1
it is nice to just breathe for a second,0
need a new pair of joggers and a tee,1
who invented the light bulb long ago,0
pillows,1
full frame mirrorless sensor cleaning kit,1
how do i start a worm farm at home,0
i really need to find a leather coat,1
niacinamide glow drops for dewy skin,1
hoping to get a durable dog bed for my puppy,1
what are the rules of professional tennis,0
i left my headphones at the gym,0
do u know about mechanical keyboards,0
i like the way the mountains look at dawn,0
clay mask with salicylic acid and sulfur,1
i think i left my phone charger at the library,0
pocket tshirt in navy,1
i am rolling up my yoga mat after the session,0
the composting bin is full and needs to be emptied,0
i need to find a serum for these dark spots,1
want to upgrade my seat on the flight,0
who wrote the play hamlet,0
oil free moisturizer for acne prone skin,1
what is the main ingredient in pesto,0
how do you fix a flat bicycle tire,0
what are the basic rules of cricket,0
wireless lapel microphone for interviews,1
triple monitor desk mount bracket,1
been eyeing those wireless earbuds for a long time now,1
about to start a garden so i need some cedar raised beds,1
i feel very calm when i am near water,0
i am curious about ancient greek philosophy,0
track jacket with side stripe detail,1
planning to buy a better windbreaker this weekend,1
i need to buy a usb c hub with hdmi,1
the outdoor grill is covered in rust,0
do you sleep at night,0
flat cat6 ethernet cable 50ft,1
hoping to get my earbuds back from the gym,0
ring spun cotton slim fit tshirt,1
e-ink notepad for digital handwriting,1
"my current pillows are flat as pancakes, need new ones",1
who wrote the poem the raven,0
might pick up my dry cleaning later this afternoon,0
i think we should plant more trees,0
what is the difference between a sea and an ocean,0
how do i learn to draw portraits,0
i forgot to wear sunscreen and got burned,0
trash bags,1
how do i train my dog to stay,0
external dac and amp for audiophile headphones,1
i was just holding my mechanical board and it is so heavy,0
the zipper on my jacket just broke off,0
hydrating sheet mask with honey extract,1
how does an airplane stay in the air,0
how do you adjust the brakes on a bike,0
good morning looking for some noise cancelling headphones,1
what are the seven wonders of the world,0
slub cotton crew neck tee in heather gray,1
cedar raised beds,1
i should probably start drinking more water,0
can i buy a set of fine tip markers,1
barrier repair cream with ceramides,1
night cream with retinol and peptides,1
hyaluronic acid serum with b5,1
i like to watch videos about blacksmithing,0
plant pots,1
was considering asking my friend about their skincare,0
my water bottle is empty and i am thirsty,0
the garden tools are in the shed,0
the waterproof case is floating in the pool,0
fishtail parka with detachable quilted liner,1
graphic oversized streetwear tee with back print,1
looking to buy a pair of thick wool socks,1
can u find me a serum with retinol in it,1
my old mountain bike still rides like a dream,0
i am trying to improve my memory retention,0
what is the largest canyon in the world,0
was thinking about grabbing some cotton tees,1
thinking of a way to fix the scratch on my monitor,0
my wool socks have a hole in the toe,0
the sunset looks absolutely stunning tonight,0
camera shoulder strap with quick release,1
been looking at these new sneakers and i might get a shirt to match,1
laptop stand with 360 degree rotation,1
organic cotton oversized tee in slate,1
was debating if i should throw out this old serum bottle,0
resurfacing mask with pumpkin enzymes,1
bluetooth trackball mouse for precision,1
aluminum tablet mount for kitchen cabinet,1
i am bored right now,0
i spilled coffee all over my gaming mouse pad,0
bluetooth speaker,1
i am considering the price of this mechanical board,0
what is the date today,0
what are the basics of chess strategy,0
rgb mechanical keyboard with gateron reds,1
my laptop is getting really hot while i work,0
this air fryer was worth every penny i spent on it,0
what is the history of the roman empire,0
was debating if i should throw out this old empty serum bottle,0
i found an old mechanical keyboard in my garage,0
mechanical keyboard o-rings for silencing,1
patio chairs,1
hi i was just telling my friend about this cool shirt,0
how do i start a herb garden on a balcony,0
thanks i found a usb c cable,0
grill,1
can you explain how a jet engine works,0
i am fascinated by the Northern Lights,0
portable ssd 1tb with encryption,1
bomber jacket with flight nylon shell,1
portable power bank 20000mah with pd,1
oil free sunscreens for acne prone skin,1
"the old toaster just caught fire, i need a new one",1
i am planning to wash my windbreaker today,0
i really need to grab some new plain white tees,1
hi i was thinking about that one shirt i lost,0
anti aging serum with copper peptides,1
how do i propagate a pothos plant,0
garden spade,1
shell jacket,1
bha charcoal face wash for oily skin,1
i am considering taking up gardening,0
hello i found an old pair of headphones in my drawer,0
the toaster burnt my bread this morning,0
my umbrella is still wet from the walk home,0
i think we should reduce plastic waste,0
what is the most populated country,0
wanna buy a leather jacket that fits oversized,1
hoping to get a new electric kettle for the office,1
high back executive chair with headrest,1
my work gloves are covered in grease,0
i found a chewed up toy under the living room couch,0
i think i might need to buy a new charging cable soon,1
brightening serum,1
i accidentally used the dipping olive oil for frying,0
the zipper on my favorite coat is stuck again,0
i am trying to be more organized lately,0
barrier repair balm with colloidal oatmeal,1
looking to replace my denim jacket with a puffer,1
i am considering how loud these headphones are,0
hello considering the storm i think i will just stay inside,0
the dog bed is covered in fur and needs a wash,0
any good deals on wireless keyboards,1
is there a store nearby that sells cast iron pots,1
winter parka with hood,1
can you show me some oversized graphic tees,1
solid state drive 1tb for faster boot,1
any shops sell vintage wash denim,1
i should probably wash this jacket soon,0
technical cargo jacket with straps,1
"mountain bike got stolen, need to find a new one fast",1
how do i stay hydrated in the summer,0
swimming goggles,1
i was just thinking about how much i love my old jacket,0
was debating if i should get a leather jacket or a puffer,1
thunderbolt 4 hub with 100w charging,1
i’m on the lookout for a place to get some decent lunch,0
i think i lost one of my earbuds at the park,0
"my skin is so dry, i need a thicker moisturizer",1
the desk chair in my room is very uncomfortable,0
rug,1
the wooden picture frame fell off the wall,0
hi do u sell moisturiser,1
i accidentally spilled my face serum all over the floor,0
i broke one of my favorite wine glasses last night,0
i love the taste of fresh mangoes,0
i love how clear the screen on this tablet is,0
vintage distressed flight jacket with fur collar,1
the garden hose has a small leak near the handle,0
i’ve been debating whether to wear my parka or a hoodie,0
thinking about starting a proper skincare routine finally,1
i lost my leather wallet yesterday,0
can i buy a digital kitchen scale here,1
hi i need a new laptop sleeve for a 14 inch macbook,1
was debating if i should wear a hat or just fix my hair,0
was debating if i should paint my room a different color,0
set of bath towels,1
was debating if i should listen to a podcast or music,0
want to grab a bottle of expensive balsamic vinegar,1
heavyweight oversized tee,1
safari jacket with four front pockets,1
waterproof breathable mountain parka,1
gardening gloves,1
dual monitor mount with spring tension,1
how do plants convert sunlight into energy,0
my earbuds keep falling out when i walk,0
what is your dream job,0
my daughter wants a guitar for her birthday,1
considering a new keyboard since mine has a sticky spacebar,1
might pick up my earbuds from the lost and found later,0
army green field jacket,1
might go to the park if the weather stays nice,0
the apples are sitting in a wooden bowl,0
i am learning to identify different clouds,0
yoga block,1
hi im considering a new moisturizer for the winter months,1
telescope,1
hi i was thinking about that interesting tech article i read,0
nourishing night cream with fatty acids,1
what is the best way to compost indoors,0
noise canceling desktop microphone arm,1
lawn mower,1
exfoliating serum with 10 percent mandelic acid,1
laptop sleeve 13 inch with plush lining,1
i enjoy listening to forest sounds,0
shea butter lip mask for overnight use,1
i need to find a place to recycle this old tech,0
wired gaming mouse with high dpi sensor,1
garden tools,1
oversized pocket tee in sand color,1
vertical ergonomic mouse with side buttons,1
what is the tallest building on earth,0
i really enjoy a cold glass of lemonade,0
want to upgrade my old mop to a steam cleaner,1
can you describe the process of glassblowing,0
hello considering the weather i should stay home,0
the weather is too warm for this heavy coat,0
i wish i could see the earth from space,0
planning to buy a reusable silicone sandwich bag,1
im searching for a mechanical keyboard under a hundred bucks,1
vitamin c serums for brightening,1
i am learning how to identify different birds,0
the concept of infinity is hard to grasp,0
hi,0
my face feels really tight after washing it,0
i was just thinking about the evolution of the denim jacket,0
looking for a car phone mount that stays put,1
brightening eye cream with caffeine,1
planar magnetic open back headphones,1
i am practicing my chess opening moves,0
