query,price_min,price_max,price_currency,rating_min,rating_max,category,sort_type,sort_direction
got a small budget around 30 dollars,,30,USD,,,,price,asc
need a reliable pick under 65,,65,USD,4.2,,combined,asc,
show me things with the highest reviews,,,,5.0,,rating,desc,
want something between 50 and 150 good quality,50.0,150,USD,4.0,,combined,price,asc
looking for a steal under 5 dollars,,5,USD,,,,price,asc
want something worth buying around 300,300.0,USD,4.5,,combined,price,asc,
anything with reviews above 4.5 stars,,,,4.5,,rating,desc,
need the cheapest options available,,,,,,price,asc,
around 700 dollars budget,700.0,USD,,,,price,asc,
show me things people love under 90,,90,USD,4.0,,combined,asc,
looking for options around 20 to 50 dollars,20.0,50,USD,,,,price,asc
want something spectacular above 1200,1200.0,,USD,,,,price,desc
price around 110 to 160 please,110.0,160,USD,,,,price,asc
show me well rated stuff around 75,,75,USD,4.2,,combined,asc,
nothing over 180 today,,180,USD,,,,price,asc
want the highest rating possible,,,,5.0,,rating,desc,
looking for deals under 28,,28,USD,,,,price,asc
show me reliable quality items,,,,4.3,,rating,desc,
got about 450 to spend,,450,USD,,,,price,asc
need good quality but affordable around 55,,55,USD,4.0,,combined,asc,
show me what people consistently recommend,,,,4.4,,rating,desc,
want something in the 600 to 900 range,600.0,900,USD,,,,price,asc
need inexpensive options not over 16,,16,USD,,,,price,asc
best quality I can get for 200,,200,USD,4.0,,combined,price,desc
show highly recommended products,,,,4.6,,rating,desc,
looking for cheap finds under 9,,9,USD,,,,price,asc
want something solid around 125,,125,USD,4.0,,combined,price,asc
my maximum is 80 dollars,,80,USD,,,,price,asc
show me top performing products,,,,4.7,,rating,desc,
need something that won't disappoint under 150,,150,USD,4.2,,combined,asc,
want affordable options around 35 to 60,35.0,60,USD,,,,price,asc
show me things worth splurging on,500.0,,USD,4.5,,combined,price,desc
need something under 100 with great feedback,,100,USD,4.3,,combined,asc,
looking for premium stuff above 400,400.0,,USD,4.5,,combined,price,desc
want something around 200 to 350 decent quality,200.0,350,USD,4.0,,combined,price,asc
need something real cheap under 6,,6,USD,,,,price,asc
show me products people are obsessed with,,,,4.8,,rating,desc,
got around 550 dollars to work with,,550,USD,,,,price,asc
need a well loved pick under 45,,45,USD,4.1,,combined,asc,
show me options that wont hurt my wallet,,40,USD,,,,price,asc
want near perfect reviews,,,,4.8,,rating,desc,
looking for bargains around 10,,10,USD,,,,price,asc
need something quality around 230,,230,USD,4.3,,combined,price,asc
show me super affordable stuff,,25,USD,,,,price,asc
want highly satisfying products,,,,4.5,,rating,desc,
my budget cap is 500,,500,USD,,,,price,asc
need decent picks around 70 to 100,70.0,100,USD,4.0,,combined,price,asc
show me the most expensive things first,,,,,,price,desc,
want everything under 50 with above average reviews,,50,USD,4.0,,combined,asc,
need something around 800 for quality,800.0,USD,4.5,,combined,price,asc,
show me items people rate above 4.4 stars,,,,4.4,,rating,desc,
not spending over 160,,160,USD,,,,price,asc
want quality picks somewhere between 150 and 300,150.0,300,USD,4.2,,combined,price,asc
need something really cheap like under 4,,4,USD,,,,price,asc
show me everything people love around 80,,80,USD,4.0,,combined,asc,
want options anywhere from 50 to 250,50.0,250,USD,,,,price,asc
need a solid buy under 110,,110,USD,4.1,,combined,asc,
show items with reviews near 5 stars,,,,4.9,,rating,desc,
want value for money around 90,,90,USD,4.2,,combined,price,asc
need affordable under 33,,33,USD,,,,price,asc
show me what experts and users both love,,,,4.7,,rating,desc,
looking for mid-priced options around 300 to 500,300.0,500,USD,,,,price,asc
need something under 195 that is well reviewed,,195,USD,4.0,,combined,asc,
show me things with incredible ratings,,,,4.8,,rating,desc,
want the best my 600 dollars can get me,,600,USD,4.5,,combined,price,desc
need something around 140 not too fancy,,140,USD,,,,price,asc
show me products that are popular and loved,,,,4.3,,rating,desc,
want something between 400 and 700 worth the price,400.0,700,USD,4.0,,combined,price,asc
need cheap but effective under 17,,17,USD,4.0,,combined,asc,
show me luxury tier products,800.0,,USD,,,,price,desc
want something around 260 well reviewed,,260,USD,4.3,,combined,price,asc
need inexpensive stuff nothing over 23,,23,USD,,,,price,asc
show me top tier picks regardless of price,,,,5.0,,rating,desc,
want something reliable under 320,,320,USD,4.0,,combined,asc,
need the best rated under 200,,200,USD,4.5,,combined,rating,desc
show me products starting from the cheapest,,,,,,price,asc,
want to find something under 48,,48,USD,,,,price,asc
need something from 75 to 200 range,75.0,200,USD,,,,price,asc
show me what gets five star reviews,,,,5.0,,rating,desc,
want good stuff under 500 that people love,,500,USD,4.2,,combined,asc,
need options around 380,,380,USD,,,,price,asc
show me the best reviewed products in any price,,,,4.6,,rating,desc,
want a great find under 42,,42,USD,4.2,,combined,asc,
need something around 275 worth buying,,275,USD,4.0,,combined,price,asc
show me fan favorites,,,,4.5,,rating,desc,
want anything under 130 with solid user scores,,130,USD,4.0,,combined,asc,
need cheap good quality under 36,,36,USD,4.0,,combined,asc,
show me what has the most positive reviews,,,,4.4,,rating,desc,
want something between 90 and 200 that works well,90.0,200,USD,4.1,,combined,price,asc
need something around 580,,580,USD,,,,price,asc
show me picks that people really trust,,,,4.6,,rating,desc,
want affordable everyday options,,50,USD,,,,price,asc
need something below 25 but still decent,,25,USD,3.8,,combined,asc,
show me the most consistent performers,,,,4.4,,rating,desc,
want picks around 800 dollars that are loved,800.0,USD,4.5,,combined,price,asc,
need very cheap stuff under 3,,3,USD,,,,price,asc
show me what's worth the price,,,,4.5,,rating,desc,
want something in the 350 to 550 range,350.0,550,USD,,,,price,asc
need items under 165 that customers love,,165,USD,4.0,,combined,asc,
show me extremely well rated items,,,,4.8,,rating,desc,
want something around 445,,445,USD,,,,price,asc
need cheap daily use items under 13,,13,USD,,,,price,asc
show me crowd favorites from any price range,,,,4.5,,rating,desc,
want something between 220 and 420,220.0,420,USD,,,,price,asc
need affordable quality around 62,,62,USD,4.0,,combined,asc,
show me products that never disappoint,,,,4.7,,rating,desc,
want under 500 with near perfect reviews,,500,USD,4.7,,combined,rating,desc
need something around 185,,185,USD,,,,price,asc
show me the best of the best,,,,4.9,,rating,desc,
want a bargain under 19,,19,USD,,,,price,asc
need solid quality somewhere around 330,,330,USD,4.0,,combined,price,asc
show me what buyers recommend most,,,,4.5,,rating,desc,
want options between 10 and 30,10.0,30,USD,,,,price,asc
need something premium above 900,900.0,,USD,4.6,,combined,price,desc
show me top picks under 75 that people love,,75,USD,4.2,,combined,asc,
want something decent for about 55,,55,USD,,,,price,asc
need best rated item within 400,,400,USD,4.5,,combined,rating,desc
show me products worth every dollar,,,,4.6,,rating,desc,
want something around 620,,620,USD,,,,price,asc
need an affordable gem under 29,,29,USD,4.1,,combined,asc,
show me stuff people absolutely love,,,,4.7,,rating,desc,
want options between 140 and 280,140.0,280,USD,,,,price,asc
need something excellent under 85,,85,USD,4.4,,combined,asc,
show me picks that have rave reviews,,,,4.8,,rating,desc,
want something around 490,,490,USD,,,,price,asc
need cheap picks around 11 dollars,,11,USD,,,,price,asc
show me what the reviews say is best,,,,4.5,,rating,desc,
want reasonable pricing between 60 and 120,60.0,120,USD,,,,price,asc
need something trusted under 230,,230,USD,4.1,,combined,asc,
show me consistently excellent products,,,,4.6,,rating,desc,
want options not exceeding 750,,750,USD,,,,price,asc
need something around 38 dollars,,38,USD,,,,price,asc
show me top community picks,,,,4.4,,rating,desc,
want something between 25 and 75,25.0,75,USD,,,,price,asc
need quality picks under 420,,420,USD,4.3,,combined,asc,
show me items almost everyone loves,,,,4.7,,rating,desc,
want something around 155 with good scores,,155,USD,4.0,,combined,price,asc
need the best available under 50,,50,USD,4.5,,combined,rating,desc
show me premium options above 700,700.0,,USD,4.5,,combined,price,desc
want something around 280 that's reliable,,280,USD,4.0,,combined,price,asc
need cheap stuff not over 14,,14,USD,,,,price,asc
show me best sellers by rating,,,,4.6,,rating,desc,
want something between 190 and 360,190.0,360,USD,,,,price,asc
need something around 68 with solid reviews,,68,USD,4.0,,combined,asc,
show me the gold standard products,,,,4.9,,rating,desc,
want affordable well loved picks,,60,USD,4.3,,combined,asc,
need something not over 560,,560,USD,,,,price,asc
show me options anyone would be happy with,,,,4.3,,rating,desc,
want something around 310 to 450,310.0,450,USD,,,,price,asc
need an inexpensive daily pick under 21,,21,USD,,,,price,asc
show me what has the most trust from customers,,,,4.5,,rating,desc,
want something around 92,,92,USD,,,,price,asc
need quality for a price under 350,,350,USD,4.2,,combined,asc,
show me exceptional products,,,,4.8,,rating,desc,
want to spend about 425,,425,USD,,,,price,asc
need something affordable and loved under 47,,47,USD,4.1,,combined,asc,
show me what people buy again and again,,,,4.6,,rating,desc,
want something between 500 and 800,500.0,800,USD,,,,price,asc
need a good deal under 32,,32,USD,4.0,,combined,asc,
show me only the finest quality,,,,4.8,,rating,desc,
want options around 145 or so,,145,USD,,,,price,asc
need something under 78 worth buying,,78,USD,4.1,,combined,asc,
show me what shoppers rave about,,,,4.5,,rating,desc,
want something between 250 and 400 with quality,250.0,400,USD,4.0,,combined,price,asc
need low cost options under 26,,26,USD,,,,price,asc
show me best in class products,,,,4.7,,rating,desc,
want to find something around 195,,195,USD,,,,price,asc
need something really good under 115,,115,USD,4.3,,combined,asc,
show me what earns the most stars,,,,4.6,,rating,desc,
want something between 80 and 160,80.0,160,USD,,,,price,asc
need cheap items under 24,,24,USD,,,,price,asc
show me products people stand behind,,,,4.4,,rating,desc,
want something around 530,,530,USD,,,,price,asc
need affordable and reliable around 43,,43,USD,4.0,,combined,asc,
show me near perfect rated options,,,,4.9,,rating,desc,
want something between 170 and 290,170.0,290,USD,,,,price,asc
need the cheapest thing that's still decent,,30,USD,3.8,,combined,price,asc
show me highest scored items first,,,,4.8,,rating,desc,
want something around 660,,660,USD,,,,price,asc
need solid options not over 52,,52,USD,4.0,,combined,asc,
show me community approved products,,,,4.5,,rating,desc,
want picks anywhere from 35 to 90,35.0,90,USD,,,,price,asc
need something around 410 that reviewers love,,410,USD,4.3,,combined,price,asc
show me anything with outstanding reviews,,,,4.7,,rating,desc,
want cheap picks around 16 to 28,16.0,28,USD,,,,price,asc
need something comfortable to buy under 175,,175,USD,,,,price,asc
show me what customers love most in any budget,,,,4.5,,rating,desc,
want something around 590,,590,USD,,,,price,asc
need a reliable option under 340,,340,USD,4.0,,combined,asc,
show me products worth more than they cost,,,,4.6,,rating,desc,
want something between 45 and 110,45.0,110,USD,,,,price,asc
need super cheap picks under 5,,5,USD,,,,price,asc
show me five star dreams,,,,5.0,,rating,desc,
want something around 370,,370,USD,,,,price,asc
need solid value under 220,,220,USD,4.1,,combined,asc,
show me what gets the highest marks,,,,4.8,,rating,desc,
want options between 125 and 250,125.0,250,USD,,,,price,asc
need something around 72,,72,USD,,,,price,asc
show me well loved items at any price,,,,4.4,,rating,desc,
want something that won't let me down under 67,,67,USD,4.2,,combined,asc,
need premium picks not under 650,650.0,,USD,,,,price,desc
show me standout products,,,,4.7,,rating,desc,
want something around 215 that's excellent,,215,USD,4.3,,combined,price,asc
need very low cost stuff under 8,,8,USD,,,,price,asc
show me products most highly regarded by buyers,,,,4.6,,rating,desc,
want something in budget around 135,,135,USD,,,,price,asc
need something around 88 with great scores,,88,USD,4.2,,combined,asc,
show me options that blow customers away,,,,4.8,,rating,desc,
want something between 320 and 480,320.0,480,USD,,,,price,asc
need cheap but loved options under 31,,31,USD,4.0,,combined,asc,
show me what buyers call outstanding,,,,4.7,,rating,desc,
want something around 760,,760,USD,,,,price,asc
need options around 57 to 82,57.0,82,USD,,,,price,asc
show me remarkable quality items,,,,4.9,,rating,desc,
want something not over 290 with good reviews,,290,USD,4.0,,combined,asc,
need something around 24,,24,USD,,,,price,asc
show me things that never get bad reviews,,,,4.5,,rating,desc,
want something between 430 and 680,430.0,680,USD,,,,price,asc
need trusted picks under 46,,46,USD,4.1,,combined,asc,
show me absolute top rated things,,,,5.0,,rating,desc,
want something around 165,,165,USD,,,,price,asc
need affordable excellent quality under 73,,73,USD,4.4,,combined,asc,
show me products with brilliant reviews,,,,4.7,,rating,desc,
want something between 55 and 130,55.0,130,USD,,,,price,asc
need something cheap around 13 dollars,,13,USD,,,,price,asc
show me what makes buyers happy,,,,4.5,,rating,desc,
want something around 840,,840,USD,,,,price,asc
need something solid under 195,,195,USD,4.0,,combined,asc,
show me the most trusted products,,,,4.6,,rating,desc,
want to spend somewhere between 300 and 600,300.0,600,USD,,,,price,asc
need amazing quality under 380,,380,USD,4.5,,combined,asc,
show me what consistently gets top marks,,,,4.8,,rating,desc,
want something around 48,,48,USD,,,,price,asc
need great value under 156,,156,USD,4.2,,combined,asc,
show me products that stand out,,,,4.7,,rating,desc,
want something between 670 and 990,670.0,990,USD,,,,price,asc
need extremely affordable things under 10,,10,USD,,,,price,asc
show me what people are most satisfied with,,,,4.5,,rating,desc,
want something around 490 that's highly rated,,490,USD,4.4,,combined,price,asc
need something under 108 with good word of mouth,,108,USD,4.0,,combined,asc,
show me elite quality products,,,,4.9,,rating,desc,
want something between 35 and 85,35.0,85,USD,,,,price,asc
need solid reliable around 265,,265,USD,4.0,,combined,price,asc
show me what buyers recommend without hesitation,,,,4.6,,rating,desc,
want options under 68 with excellent scores,,68,USD,4.3,,combined,asc,
need something around 920,,920,USD,,,,price,asc
show me highly satisfying products,,,,4.7,,rating,desc,
want something between 105 and 210,105.0,210,USD,,,,price,asc
need a budget pick under 37,,37,USD,,,,price,asc
show me what earns loyalty from customers,,,,4.5,,rating,desc,
want something around 575 well reviewed,,575,USD,4.3,,combined,price,asc
need great but cheap under 44,,44,USD,4.0,,combined,asc,
show me products universally praised,,,,4.8,,rating,desc,
want options between 240 and 390,240.0,390,USD,,,,price,asc
need something around 82 that's worth it,,82,USD,4.1,,combined,asc,
show me what shoppers never regret buying,,,,4.6,,rating,desc,
want cheap picks that are still excellent,,35,USD,4.2,,combined,asc,
need options around 715,,715,USD,,,,price,asc
show me best quality within any budget,,,,4.7,,rating,desc,
want something between 160 and 310,160.0,310,USD,,,,price,asc
need something under 27 but not garbage quality,,27,USD,3.9,,combined,asc,
show me products that genuinely impress,,,,4.8,,rating,desc,
want around 480 dollars to get something great,,480,USD,4.3,,combined,price,asc
need super low budget under 6,,6,USD,,,,price,asc
show me five star rated items only,,,,5.0,,rating,desc,
want something between 95 and 185,95.0,185,USD,,,,price,asc
need affordable pick around 53,,53,USD,,,,price,asc
show me the most respected products,,,,4.6,,rating,desc,
want something around 345 that's excellent,,345,USD,4.4,,combined,price,asc
need something very affordable not over 18,,18,USD,,,,price,asc
show me what everyone rates highly,,,,4.5,,rating,desc,
want options between 200 and 500,200.0,500,USD,,,,price,asc
need a great find under 65,,65,USD,4.3,,combined,asc,
show me products worth writing home about,,,,4.7,,rating,desc,
want something around 870,,870,USD,,,,price,asc
need something around 34 with decent reviews,,34,USD,4.0,,combined,asc,
show me what always makes buyers smile,,,,4.6,,rating,desc,
want something in the 125 to 225 range,125.0,225,USD,,,,price,asc
need cheap options around 15,,15,USD,,,,price,asc
show me highly admired products,,,,4.7,,rating,desc,
want something not over 425,,425,USD,,,,price,asc
need amazing value under 95,,95,USD,4.3,,combined,asc,
show me what buyers call the best,,,,4.8,,rating,desc,
want something between 55 and 105,55.0,105,USD,,,,price,asc
need something reliable around 49,,49,USD,4.0,,combined,asc,
show me options that consistently wow people,,,,4.9,,rating,desc,
want something around 640,,640,USD,,,,price,asc
need affordable but quality under 83,,83,USD,4.1,,combined,asc,
show me top shelf rated products,,,,4.7,,rating,desc,
want between 175 and 325,175.0,325,USD,,,,price,asc
need something not too expensive under 41,,41,USD,,,,price,asc
show me crowd pleasing products,,,,4.5,,rating,desc,
want something around 510 worth buying,,510,USD,4.2,,combined,price,asc
need something very low cost around 9,,9,USD,,,,price,asc
show me excellent quality picks at any cost,,,,4.8,,rating,desc,
want options between 290 and 450,290.0,450,USD,,,,price,asc
need a solid deal under 128,,128,USD,4.0,,combined,asc,
show me all time best reviewed products,,,,4.7,,rating,desc,
want around 395 dollars worth of quality,,395,USD,4.2,,combined,price,asc
need cheap picks around 20 to 35,20.0,35,USD,,,,price,asc
show me what buyers would buy twice,,,,4.6,,rating,desc,
want something around 745,,745,USD,,,,price,asc
need excellent under 365,,365,USD,4.4,,combined,asc,
show me what reviewers call must-have,,,,4.7,,rating,desc,
want options between 85 and 175,85.0,175,USD,,,,price,asc
need extremely low cost picks under 11,,11,USD,,,,price,asc
show me products that exceed expectations,,,,4.8,,rating,desc,
want something around 430 with great reviews,,430,USD,4.3,,combined,price,asc
need affordable daily picks under 58,,58,USD,,,,price,asc
show me what earns five stars consistently,,,,5.0,,rating,desc,
want something between 230 and 380,230.0,380,USD,,,,price,asc
need great but inexpensive under 71,,71,USD,4.1,,combined,asc,
show me what shoppers can't stop praising,,,,4.6,,rating,desc,
want something around 550 with top reviews,,550,USD,4.4,,combined,price,asc
need something under 19,,19,USD,,,,price,asc
show me the most worshipped products,,,,4.9,,rating,desc,
want options between 120 and 250,120.0,250,USD,,,,price,asc
need value for money around 77,,77,USD,4.0,,combined,asc,
show me what buyers call a game changer,,,,4.7,,rating,desc,
want something around 835,,835,USD,,,,price,asc
need cheap and loved options under 39,,39,USD,4.1,,combined,asc,
show me what has unanimous praise,,,,4.8,,rating,desc,
want something between 460 and 720,460.0,720,USD,,,,price,asc
need something around 61,,61,USD,,,,price,asc
show me highly endorsed products,,,,4.6,,rating,desc,
want something not over 345,,345,USD,,,,price,asc
need excellent picks under 143,,143,USD,4.2,,combined,asc,
show me products that make buyers happy,,,,4.5,,rating,desc,
want something between 25 and 60,25.0,60,USD,,,,price,asc
need something around 785,,785,USD,,,,price,asc
show me well scored items under any price,,,,4.4,,rating,desc,
want something around 290 that scores well,,290,USD,4.2,,combined,price,asc
need cheap good quality around 27,,27,USD,4.0,,combined,asc,
show me the cream of the crop,,,,4.9,,rating,desc,
under 30 please,,30,USD,,,,price,asc
anything below 50,,50,USD,,,,price,asc
keep it cheap,,20,USD,,,,price,asc
top rated only,,,,4.8,,rating,desc,
budget is 100,,100,USD,,,,price,asc
highly acclaimed stuff,,,,4.7,,rating,desc,
below 200,,200,USD,,,,price,asc
loved by everyone,,,,4.6,,rating,desc,
not over 75,,75,USD,,,,price,asc
five stars please,,,,5.0,,rating,desc,
cap at 150,,150,USD,,,,price,asc
most praised items,,,,4.5,,rating,desc,
40 dollars max,,40,USD,,,,price,asc
people swear by these,,,,4.7,,rating,desc,
60 bucks or less,,60,USD,,,,price,asc
whatever gets the best scores,,,,4.8,,rating,desc,
staying under 90,,90,USD,,,,price,asc
community favorites,,,,4.5,,rating,desc,
less than 25,,25,USD,,,,price,asc
only the finest,,,,4.9,,rating,desc,
somewhere around 300,300.0,USD,,,,price,asc,
buyer approved picks,,,,4.6,,rating,desc,
max 45,,45,USD,,,,price,asc
stuff reviewers go crazy over,,,,4.7,,rating,desc,
ceiling of 120,,120,USD,,,,price,asc
best rated of the bunch,,,,4.8,,rating,desc,
45 to 80 range,45.0,80,USD,,,,price,asc
consistently stellar reviews,,,,4.6,,rating,desc,
absolute cheapest,,,,,,price,asc,
splurge worthy options,600.0,,USD,4.5,,combined,price,desc
around 250 dollars,,250,USD,,,,price,asc
jaw dropping ratings,,,,4.9,,rating,desc,
roughly 35 bucks,,35,USD,,,,price,asc
most trusted picks,,,,4.6,,rating,desc,
price cap 500,,500,USD,,,,price,asc
glowing reviews only,,,,4.7,,rating,desc,
70 or under,,70,USD,,,,price,asc
customer darlings,,,,4.5,,rating,desc,
15 dollars and below,,15,USD,,,,price,asc
near flawless ratings,,,,4.8,,rating,desc,
200 to 400 ballpark,200.0,400,USD,,,,price,asc
universally loved stuff,,,,4.7,,rating,desc,
tight budget around 20,,20,USD,,,,price,asc
gold standard quality,,,,4.9,,rating,desc,
below 350,,350,USD,,,,price,asc
repeat buyers love these,,,,4.6,,rating,desc,
55 at the most,,55,USD,,,,price,asc
impossible to dislike,,,,4.8,,rating,desc,
roughly 100 to 200,100.0,200,USD,,,,price,asc
absolutely raved about,,,,4.7,,rating,desc,
limit myself to 80,,80,USD,,,,price,asc
a steal under 12,,12,USD,,,,price,asc
legendary ratings,,,,5.0,,rating,desc,
anything from 300 to 600,300.0,600,USD,,,,price,asc
can't go wrong with these,,,,4.6,,rating,desc,
no more than 65,,65,USD,,,,price,asc
platinum tier quality,,,,4.9,,rating,desc,
hovering around 400,,400,USD,,,,price,asc
zero complaints kind of products,,,,4.7,,rating,desc,
tight on cash under 18,,18,USD,,,,price,asc
most applauded picks,,,,4.8,,rating,desc,
from 50 up to 130,50.0,130,USD,,,,price,asc
happiest customers shop here,,,,4.6,,rating,desc,
100 dollars flat,,100,USD,,,,price,asc
exceptional scores only,,,,4.8,,rating,desc,
10 bucks max,,10,USD,,,,price,asc
obsessively well reviewed,,,,4.7,,rating,desc,
price around 175,,175,USD,,,,price,asc
legendary customer satisfaction,,,,4.9,,rating,desc,
from 150 to 300,150.0,300,USD,,,,price,asc
can't stop buying these,,,,4.6,,rating,desc,
max budget 85,,85,USD,,,,price,asc
reviews that blow your mind,,,,4.8,,rating,desc,
affordable territory around 30,,30,USD,,,,price,asc
zero regrets purchases,,,,4.7,,rating,desc,
from 80 to 180,80.0,180,USD,,,,price,asc
cult favorite items,,,,4.6,,rating,desc,
23 dollars or less,,23,USD,,,,price,asc
highest achievable quality,,,,5.0,,rating,desc,
within 700,,700,USD,,,,price,asc
stuff that makes buyers emotional,,,,4.8,,rating,desc,
capped at 160,,160,USD,,,,price,asc
everyone gives these top marks,,,,4.7,,rating,desc,
sub 40,,40,USD,,,,price,asc
masterclass in quality,,,,4.9,,rating,desc,
50 to 100 please,50.0,100,USD,,,,price,asc
reliably excellent,,,,4.6,,rating,desc,
dirt cheap under 8,,8,USD,,,,price,asc
loved at first purchase,,,,4.7,,rating,desc,
within 220,,220,USD,,,,price,asc
endlessly praised items,,,,4.8,,rating,desc,
not beyond 110,,110,USD,,,,price,asc
stuff with no haters,,,,4.6,,rating,desc,
from 250 to 500,250.0,500,USD,,,,price,asc
perpetually well rated,,,,4.7,,rating,desc,
staying below 48,,48,USD,,,,price,asc
crown jewel of reviews,,,,5.0,,rating,desc,
around 600 or so,,600,USD,,,,price,asc
customer satisfaction hall of fame,,,,4.9,,rating,desc,
below 38,,38,USD,,,,price,asc
effortlessly top rated,,,,4.7,,rating,desc,
something between 400 and 700,400.0,700,USD,,,,price,asc
undeniably excellent,,,,4.8,,rating,desc,
ceiling 55,,55,USD,,,,price,asc
perfect storm of ratings,,,,4.9,,rating,desc,
28 bucks or under,,28,USD,,,,price,asc
loved from day one,,,,4.6,,rating,desc,
from 90 to 200,90.0,200,USD,,,,price,asc
top of the leaderboard reviews,,,,4.8,,rating,desc,
comfortably under 320,,320,USD,,,,price,asc
repeat purchases say it all,,,,4.7,,rating,desc,
up to 14 dollars,,14,USD,,,,price,asc
almost no one rates these low,,,,4.6,,rating,desc,
between 600 and 900,600.0,900,USD,,,,price,asc
satisfaction guaranteed kind of products,,,,4.8,,rating,desc,
within 42,,42,USD,,,,price,asc
hallmark of quality,,,,4.9,,rating,desc,
below 280,,280,USD,,,,price,asc
word of mouth is electric for these,,,,4.7,,rating,desc,
13 and under,,13,USD,,,,price,asc
supremely well regarded,,,,4.8,,rating,desc,
range of 70 to 140,70.0,140,USD,,,,price,asc
living up to expectations and beyond,,,,4.7,,rating,desc,
not exceeding 450,,450,USD,,,,price,asc
standing ovation ratings,,,,4.9,,rating,desc,
